X	Y	Type	Color
-0.0607727	-0.100415	red	#FF0000
0.882861	0.356812	red	#FF0000
-0.154123	0.400851	red	#FF0000
0.00435678	-0.00148861	green	#008000
-0.0891505	0.0347541	red	#FF0000
0.366446	-0.432995	red	#FF0000
1.6628	1.21654	green	#008000
-0.0163829	0.0982982	green	#008000
0.166845	0.0648029	green	#008000
0.0292377	0.0759343	red	#FF0000
0.027227	-0.0317742	green	#008000
-0.0280385	-0.00101391	green	#008000
9.87462	-1.9426	red	#FF0000
0.322149	-0.310397	red	#FF0000
-0.0566618	0.0302805	green	#008000
0.00613679	0.0246037	red	#FF0000
0.004676	-0.00490782	red	#FF0000
-0.397959	0.640243	red	#FF0000
-0.666331	0.213703	red	#FF0000
0.000852797	0.069759	red	#FF0000
-0.00955576	-0.0654331	green	#008000
-0.379875	0.503201	red	#FF0000
0.00260335	0.0378903	red	#FF0000
0.0189389	0.00459001	red	#FF0000
-0.0447497	-0.110831	red	#FF0000
0.0316486	0.0239278	red	#FF0000
0.00207741	0.0444138	red	#FF0000
0.167178	-0.0964097	red	#FF0000
-0.111782	0.441838	green	#008000
0.170425	0.515287	red	#FF0000
0.000704493	-1.13485e-05	green	#008000
-0.0735514	-0.00870708	red	#FF0000
-0.0098057	-0.0901134	red	#FF0000
0.259529	-0.161645	red	#FF0000
-0.181698	-0.000749089	red	#FF0000
-0.13584	-0.21494	red	#FF0000
-0.103283	-0.116833	red	#FF0000
-0.317242	0.628652	red	#FF0000
-2.04726	-2.66274	red	#FF0000
-5.70355	-15.9857	red	#FF0000
0.0449334	0.015787	green	#008000
-0.0305514	-0.0350577	green	#008000
0.137315	-0.354799	green	#008000
0.0232252	-0.0576651	red	#FF0000
2.06909	3.0738	red	#FF0000
-0.103089	0.237801	red	#FF0000
0.0128068	0.0268798	red	#FF0000
0.0688965	0.5156	red	#FF0000
-0.0746983	0.0924804	red	#FF0000
-0.144359	0.221307	red	#FF0000
0.0269535	-0.0130662	red	#FF0000
0.031676	-0.133977	red	#FF0000
-1.37905	4.59589	green	#008000
0.0192954	0.658575	red	#FF0000
0.178768	-0.469377	red	#FF0000
0.0542805	-0.0623471	red	#FF0000
-0.125511	0.0356563	red	#FF0000
0.0990165	0.152273	red	#FF0000
-0.000822811	0.00464008	red	#FF0000
0.0271988	0.0255704	red	#FF0000
0.0219208	-0.0514418	red	#FF0000
-0.435531	-0.360461	red	#FF0000
-0.000383002	-0.0600704	green	#008000
0.165715	0.0207623	red	#FF0000
-0.219654	0.367375	red	#FF0000
